Geographic Area,"April 1, 2020 Estimates Base","Population Estimate
 (as of July 1)",
,,2020,2021
United States,331449281.00,331501080.00,331893745.00
Northeast,57609148.00,57525633.00,57159838.00
Midwest,68985454.00,68935174.00,68841444.00
South,126266107.00,126409007.00,127225329.00
West,78588572.00,78631266.00,78667134.00
.Alabama,5024279.00,5024803.00,5039877.00
.Alaska,733391.00,732441.00,732673.00
.Arizona,7151502.00,7177986.00,7276316.00
.Arkansas,3011524.00,3012232.00,3025891.00
.California,39538223.00,39499738.00,39237836.00
.Colorado,5773714.00,5784308.00,5812069.00
.Connecticut,3605944.00,3600260.00,3605597.00
.Delaware,989948.00,991886.00,1003384.00
.District of Columbia,689545.00,690093.00,670050.00
.Florida,21538187.00,21569932.00,21781128.00
.Georgia,10711908.00,10725800.00,10799566.00
.Hawaii,1455271.00,1451911.00,1441553.00
.Idaho,1839106.00,1847772.00,1900923.00
.Illinois,12812508.00,12785245.00,12671469.00
.Indiana,6785528.00,6785644.00,6805985.00
.Iowa,3190369.00,3188669.00,3193079.00
.Kansas,2937880.00,2935880.00,2934582.00
.Kentucky,4505836.00,4503958.00,4509394.00
.Louisiana,4657757.00,4651203.00,4624047.00
.Maine,1362359.00,1362280.00,1372247.00
.Maryland,6177224.00,6172679.00,6165129.00
.Massachusetts,7029917.00,7022220.00,6984723.00
.Michigan,10077331.00,10067664.00,10050811.00
.Minnesota,5706494.00,5707165.00,5707390.00
.Mississippi,2961279.00,2956870.00,2949965.00
.Missouri,6154913.00,6154481.00,6168187.00
.Montana,1084225.00,1086193.00,1104271.00
.Nebraska,1961504.00,1961455.00,1963692.00
.Nevada,3104614.00,3114071.00,3143991.00
.New Hampshire,1377529.00,1377848.00,1388992.00
.New Jersey,9288994.00,9279743.00,9267130.00
.New Mexico,2117522.00,2117566.00,2115877.00
.New York,20201249.00,20154933.00,19835913.00
.North Carolina,10439388.00,10457177.00,10551162.00
.North Dakota,779094.00,778962.00,774948.00
.Ohio,11799448.00,11790587.00,11780017.00
.Oklahoma,3959353.00,3962031.00,3986639.00
.Oregon,4237256.00,4241544.00,4246155.00
.Pennsylvania,13002700.00,12989625.00,12964056.00
.Rhode Island,1097379.00,1096229.00,1095610.00
.South Carolina,5118425.00,5130729.00,5190705.00
.South Dakota,886667.00,887099.00,895376.00
.Tennessee,6910840.00,6920119.00,6975218.00
.Texas,29145505.00,29217653.00,29527941.00
.Utah,3271616.00,3281684.00,3337975.00
.Vermont,643077.00,642495.00,645570.00
.Virginia,8631393.00,8632044.00,8642274.00
.Washington,7705281.00,7718785.00,7738692.00
.West Virginia,1793716.00,1789798.00,1782959.00
.Wisconsin,5893718.00,5892323.00,5895908.00
.Wyoming,576851.00,577267.00,578803.00
